trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,True,"{'a': 0.5, 'e': 4.305959528345206}",25,0,-27.329007513804946,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
127,True,"{'a': 0.5, 'e': 4.349235141062741}",20,0,-49.91897491344482,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
128,True,"{'a': 0.5, 'e': 4.392945680918757}",20,0,-97.48337169049911,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
129,True,"{'a': 0.5, 'e': 4.437095519003664}",20,0,-92.89505229946157,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
130,True,"{'a': 0.5, 'e': 4.4816890703380645}",25,4,-57.867560694172944,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 0}",1
131,True,"{'a': 0.5, 'e': 4.526730794314252}",30,0,-202.87500967006014,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
132,True,"{'a': 0.5, 'e': 4.572225195142159}",25,0,-107.53343059686941,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
133,True,"{'a': 0.5, 'e': 4.618176822299781}",20,0,-113.94358600671023,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
134,True,"{'a': 0.5, 'e': 4.664590270988126}",20,0,-110.03049219141484,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
135,True,"{'a': 0.5, 'e': 4.711470182590742}",20,0,-115.25960683508353,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
136,True,"{'a': 0.5, 'e': 4.758821245137854}",20,0,-81.25951819113786,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
137,True,"{'a': 0.5, 'e': 4.806648193775178}",30,0,-246.01749808773826,"{0: 16, 1: 4, 2: 3, 3: 3, 4: 4}",0
138,True,"{'a': 0.5, 'e': 4.854955811237434}",20,0,-148.91017897383577,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
139,True,"{'a': 0.5, 'e': 4.903748928326623}",30,9,-36.15486377910093,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 0}",1
140,True,"{'a': 0.5, 'e': 4.953032424395115}",30,0,-200.39409648798863,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
141,True,"{'a': 0.5, 'e': 5.002811227833588}",20,0,-87.97374771323818,"{0: 14, 1: 0, 2: 2, 3: 4, 4: 0}",0
142,True,"{'a': 0.5, 'e': 5.053090316563868}",25,0,-126.03083618800491,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
143,True,"{'a': 0.5, 'e': 5.1038747185367255}",25,0,-240.2575005555073,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
144,True,"{'a': 0.5, 'e': 5.15516951223468}",20,0,-78.62235433519123,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
145,True,"{'a': 0.5, 'e': 5.206979827179849}",25,0,-74.58322652550055,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
146,True,"{'a': 0.5, 'e': 5.259310844446898}",20,0,-113.951528638774,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
147,True,"{'a': 0.5, 'e': 5.312167797181167}",20,0,-133.2820978568111,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
148,True,"{'a': 0.5, 'e': 5.3655559711219745}",20,0,-109.14272519518482,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
149,True,"{'a': 0.5, 'e': 5.419480705131206}",25,0,-100.68846594940517,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
150,True,"{'a': 0.5, 'e': 5.4739473917272}",20,0,-76.5387708876432,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
151,True,"{'a': 0.5, 'e': 5.528961477624004}",20,0,-135.17498248847332,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
152,True,"{'a': 0.5, 'e': 5.584528464276054}",35,11,-159.7547164622145,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 2}",1
153,True,"{'a': 0.5, 'e': 5.6406539084283205}",20,0,-142.9461841281411,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
154,True,"{'a': 0.5, 'e': 5.697343422671991}",20,0,-117.83195350132695,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
155,True,"{'a': 0.5, 'e': 5.754602676005731}",25,0,-155.78854939574538,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
156,True,"{'a': 0.5, 'e': 5.812437394402589}",20,0,-128.9925219106558,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
