trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-28.72113160589168,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-35.74953040661238,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-11.798847159418326,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-67.60473320712873,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-202.7275184209607,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",30,0,-140.2253207008434,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-19.83692556458052,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,11,-22.136277309771796,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-87.01593045850048,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-125.1008974651824,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-75.18582859032524,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-96.54537624481532,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-80.4674202709367,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,2.8061131190569926,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
